subject,region,n_electrodes,condition,layer,model,observed_r2,p_value,n_permutations_used
1,G_and_S_cingul-Ant,12,overall,early,BERT,-0.025241971015930176,0.9010989010989011,1000
1,G_and_S_cingul-Ant,12,overall,early,GPT,-0.09235012531280518,0.9660339660339661,1000
1,G_and_S_cingul-Ant,12,overall,early,T5,-0.9764081239700317,0.991008991008991,1000
1,G_and_S_cingul-Ant,12,overall,middle,BERT,-0.046309590339660645,0.9200799200799201,1000
1,G_and_S_cingul-Ant,12,overall,middle,GPT,-0.1052236557006836,0.9440559440559441,1000
1,G_and_S_cingul-Ant,12,overall,middle,T5,-0.4475053548812866,0.6873126873126874,1000
1,G_and_S_cingul-Ant,12,overall,late,BERT,-0.06348180770874023,0.968031968031968,1000
1,G_and_S_cingul-Ant,12,overall,late,GPT,-0.10534918308258057,0.952047952047952,1000
1,G_and_S_cingul-Ant,12,overall,late,T5,-0.2713524103164673,0.8011988011988012,1000
1,G_and_S_cingul-Ant,12,overall,last,BERT,-0.04455161094665527,0.948051948051948,1000
1,G_and_S_cingul-Ant,12,overall,last,GPT,-0.09909355640411377,0.961038961038961,1000
1,G_and_S_cingul-Ant,12,overall,last,T5,-0.022723078727722168,0.962037962037962,1000
1,G_and_S_cingul-Ant,12,a,early,BERT,-0.032895565032958984,0.6163836163836164,1000
1,G_and_S_cingul-Ant,12,a,early,GPT,-0.07271325588226318,0.5044955044955045,1000
1,G_and_S_cingul-Ant,12,a,early,T5,-0.27125084400177,0.7702297702297702,1000
1,G_and_S_cingul-Ant,12,a,middle,BERT,-0.043416738510131836,0.6693306693306693,1000
1,G_and_S_cingul-Ant,12,a,middle,GPT,-0.08363699913024902,0.48951048951048953,1000
1,G_and_S_cingul-Ant,12,a,middle,T5,-0.3106815814971924,0.8051948051948052,1000
1,G_and_S_cingul-Ant,12,a,late,BERT,-0.02726280689239502,0.2987012987012987,1000
1,G_and_S_cingul-Ant,12,a,late,GPT,-0.096701979637146,0.5864135864135864,1000
1,G_and_S_cingul-Ant,12,a,late,T5,-0.9672764539718628,0.6973026973026973,1000
1,G_and_S_cingul-Ant,12,a,last,BERT,-0.02856123447418213,0.3986013986013986,1000
1,G_and_S_cingul-Ant,12,a,last,GPT,-0.07276749610900879,0.4825174825174825,1000
1,G_and_S_cingul-Ant,12,a,last,T5,-0.0363842248916626,0.7902097902097902,1000
1,G_and_S_cingul-Ant,12,v,early,BERT,-0.029009699821472168,0.984015984015984,1000
1,G_and_S_cingul-Ant,12,v,early,GPT,-0.17865192890167236,0.6353646353646354,1000
1,G_and_S_cingul-Ant,12,v,early,T5,-0.18891990184783936,0.6743256743256744,1000
1,G_and_S_cingul-Ant,12,v,middle,BERT,-0.041191816329956055,0.9410589410589411,1000
1,G_and_S_cingul-Ant,12,v,middle,GPT,-0.08338570594787598,0.5524475524475524,1000
1,G_and_S_cingul-Ant,12,v,middle,T5,-0.24409174919128418,0.5704295704295704,1000
1,G_and_S_cingul-Ant,12,v,late,BERT,-0.050417423248291016,0.9140859140859141,1000
1,G_and_S_cingul-Ant,12,v,late,GPT,-0.08025991916656494,0.5284715284715285,1000
1,G_and_S_cingul-Ant,12,v,late,T5,-0.5138498544692993,0.3726273726273726,1000
1,G_and_S_cingul-Ant,12,v,last,BERT,-0.023379206657409668,0.8361638361638362,1000
1,G_and_S_cingul-Ant,12,v,last,GPT,-0.08007192611694336,0.6813186813186813,1000
1,G_and_S_cingul-Ant,12,v,last,T5,-0.008241534233093262,0.6413586413586414,1000
1,G_and_S_cingul-Ant,12,GS,early,BERT,0.027180790901184082,0.08091908091908091,1000
1,G_and_S_cingul-Ant,12,GS,early,GPT,-0.2860037088394165,0.9200799200799201,1000
1,G_and_S_cingul-Ant,12,GS,early,T5,-0.21916985511779785,0.6023976023976024,1000
1,G_and_S_cingul-Ant,12,GS,middle,BERT,0.06592202186584473,0.04095904095904096,1000
1,G_and_S_cingul-Ant,12,GS,middle,GPT,-0.30549514293670654,0.942057942057942,1000
1,G_and_S_cingul-Ant,12,GS,middle,T5,-0.29250919818878174,0.7192807192807192,1000
1,G_and_S_cingul-Ant,12,GS,late,BERT,0.10107302665710449,0.025974025974025976,1000
1,G_and_S_cingul-Ant,12,GS,late,GPT,-0.3408193588256836,0.955044955044955,1000
1,G_and_S_cingul-Ant,12,GS,late,T5,-0.37677693367004395,0.6743256743256744,1000
1,G_and_S_cingul-Ant,12,GS,last,BERT,0.0852276086807251,0.005994005994005994,1000
1,G_and_S_cingul-Ant,12,GS,last,GPT,-0.2612236738204956,0.9110889110889111,1000
1,G_and_S_cingul-Ant,12,GS,last,T5,-0.003279447555541992,0.24175824175824176,1000
1,G_and_S_cingul-Ant,12,GNS,early,BERT,-0.23247873783111572,0.7832167832167832,1000
1,G_and_S_cingul-Ant,12,GNS,early,GPT,-0.15452802181243896,0.08191808191808192,1000
1,G_and_S_cingul-Ant,12,GNS,early,T5,-0.23098886013031006,0.13386613386613386,1000
1,G_and_S_cingul-Ant,12,GNS,middle,BERT,-0.20593583583831787,0.4865134865134865,1000
1,G_and_S_cingul-Ant,12,GNS,middle,GPT,-0.18510103225708008,0.09490509490509491,1000
1,G_and_S_cingul-Ant,12,GNS,middle,T5,-0.16980743408203125,0.0899100899100899,1000
1,G_and_S_cingul-Ant,12,GNS,late,BERT,-0.2376093864440918,0.5794205794205795,1000
1,G_and_S_cingul-Ant,12,GNS,late,GPT,-0.1864997148513794,0.1038961038961039,1000
1,G_and_S_cingul-Ant,12,GNS,late,T5,-0.31668007373809814,0.19080919080919082,1000
1,G_and_S_cingul-Ant,12,GNS,last,BERT,-0.25897109508514404,0.8671328671328671,1000
1,G_and_S_cingul-Ant,12,GNS,last,GPT,-0.14934241771697998,0.1028971028971029,1000
1,G_and_S_cingul-Ant,12,GNS,last,T5,-0.20918035507202148,0.6733266733266733,1000
1,G_and_S_cingul-Ant,12,NGNS,early,BERT,-0.006908059120178223,0.5194805194805194,1000
1,G_and_S_cingul-Ant,12,NGNS,early,GPT,-0.10417425632476807,0.36663336663336665,1000
1,G_and_S_cingul-Ant,12,NGNS,early,T5,-0.3356257677078247,0.45254745254745254,1000
1,G_and_S_cingul-Ant,12,NGNS,middle,BERT,-0.019359707832336426,0.48151848151848153,1000
1,G_and_S_cingul-Ant,12,NGNS,middle,GPT,-0.11672341823577881,0.3856143856143856,1000
1,G_and_S_cingul-Ant,12,NGNS,middle,T5,-0.3010932207107544,0.4035964035964036,1000
1,G_and_S_cingul-Ant,12,NGNS,late,BERT,-0.018189549446105957,0.4175824175824176,1000
1,G_and_S_cingul-Ant,12,NGNS,late,GPT,-0.11709463596343994,0.3726273726273726,1000
1,G_and_S_cingul-Ant,12,NGNS,late,T5,-0.30462372303009033,0.3926073926073926,1000
1,G_and_S_cingul-Ant,12,NGNS,last,BERT,-0.021286487579345703,0.5394605394605395,1000
1,G_and_S_cingul-Ant,12,NGNS,last,GPT,-0.10777115821838379,0.38461538461538464,1000
1,G_and_S_cingul-Ant,12,NGNS,last,T5,-0.011614799499511719,0.5944055944055944,1000
1,G_front_inf-Opercular,6,overall,early,BERT,-0.003282904624938965,0.6353646353646354,1000
1,G_front_inf-Opercular,6,overall,early,GPT,-0.05591106414794922,0.8701298701298701,1000
1,G_front_inf-Opercular,6,overall,early,T5,-0.05341660976409912,0.23076923076923078,1000
1,G_front_inf-Opercular,6,overall,middle,BERT,-0.03372299671173096,0.965034965034965,1000
1,G_front_inf-Opercular,6,overall,middle,GPT,-0.07299244403839111,0.8961038961038961,1000
1,G_front_inf-Opercular,6,overall,middle,T5,-0.11939716339111328,0.46853146853146854,1000
1,G_front_inf-Opercular,6,overall,late,BERT,-0.056728482246398926,0.999000999000999,1000
